text	intent
告訴我從費城飛往達拉斯的是停在亞特蘭大的航班	機票
我需要從巴爾的摩飛往達拉斯星期二晚上	飛行
從紐瓦克飛往克里夫蘭每天下午5點航班	飛行
給我的波士頓和丹佛之間的航班	飛行
讓我從舊金山到波士頓費城或巴爾的摩的所有航班	飛行
顯示波士頓和丹佛之間的航班	飛行
什麼是週三的最新航班會從亞特蘭大到華盛頓特區	飛行
什麼是從巴爾的摩到舊金山週五八月三十最便宜的機票	飛行
I'd像從丹佛一張票，亞特蘭大與匹茲堡停留這是可能	機票
我想舊金山美國航空公司航班從巴爾的摩在丹佛停止	機票
什麼是車費去的一種方式在十一月十七從丹佛飛往奧克蘭	飛行
有沒有在美國聯合航空公司從波士頓到丹佛航班	機票
告訴我從費城到亞特蘭大晚上航班	飛行
給我看在費城地面上週一早上交通	飛行
我想從多倫多到聖地亞哥的美國飛機在丹佛停留請	飛行
什麼才是從奧克蘭最便宜的單程飛行到波士頓	飛行
我想從巴爾的摩飛往達拉斯往返	飛行
告訴我，從亞特蘭大到匹茲堡的航班單程	飛行
上週日從坦帕飛往夏洛特的航班	飛行
找到從達拉斯往返航班飛往匹茲堡的行程安排	飛行
什麼是最便宜的單程票價從波士頓飛往匹茲堡	飛行
什麼是在當天的最新航班從巴爾的摩在波士頓抵達	機票
什麼是從丹佛飛往匹茲堡最便宜的航班	飛行
告訴我從丹佛飛往匹茲堡和亞特蘭大的航班	飛行
確實TWA必須從印第安納波利斯到休斯敦飛行抵達上午11時	飛行
我需要知道什麼航班離開亞特蘭大在週日晚上和巴爾的摩抵達	飛行
I'd喜歡找從奧蘭多美國空中飛行克利夫蘭到達10點左右，晚上	飛行
請列出從拉斯維加斯到紐約和票價TWA航班	飛行
從達拉斯到舊金山的所有航班	飛行
什麼才是從舊金山到巴爾的摩的最低票價	飛行
告訴我到波士頓的航班奧克蘭	機票
我需要坐飛機離開費城亞特蘭大	飛行
我想找到北卡羅萊納州夏洛特拉斯維加斯我飛行想在日停留。路易	飛行
請告訴我任何美聯航航班包括5晚上波士頓和舊金山之間的連接	飛行
從辛辛那提到奧黑爾718後起飛的航班是美國人	飛行
希望從華盛頓到沃斯堡飛行	飛行
從伯班克到丹佛列表直達航班於下午6時抵達	飛行
顯示我要離開航空公司匹茲堡去舊金山參加下週一的日程	飛行
給我從夏洛特到巴爾的摩上午航班	飛行時間
列出從費城到舊金山的所有美聯航航班	飛行
我想從密爾沃基飛往奧蘭多	飛行
有沒有從波士頓到亞特蘭大的飛行這讓波士頓在下午和到達接近下午5點	飛行
讓我從一個密爾沃基方式飛往奧蘭多的航班離開上週三上午	飛行
告訴我所有的伯班克的航班	飛行
告訴我飛機，加拿大的航空公司使用	飛行
是的，我住在華盛頓，我想對舊金山之旅，其航空公司可能我用這行	飛機
請列出航班從亞特蘭大到費城	飛行
從拉瓜迪亞和肯尼迪國際機場飛往克里夫蘭的航班	飛行
告訴我美國航空公司航班上週三離開菲尼克斯和密爾沃基到達	飛行
顯示在漢莎航空公司的所有航班從波士頓	飛行
你能告訴我，波士頓和舊金山之間最便宜的航班	飛行
我想看到從巴爾的摩到費城的航班，請	飛行
給我從亞特蘭大到巴爾的摩航班	飛行
我希望有一個航班離開紐瓦克飛往洛杉磯的葉子在上午	飛行
從列出巴爾的摩飛往西雅圖的航班是停在明尼阿波利斯	飛行
我需要從匹茲堡到紐約的航班下午5點以後出發	飛行
告訴我從鳳凰城到密爾沃基的美國航空公司在週三的所有航班	飛行
這是達拉斯和巴爾的摩之間最便宜的航班七月十九	飛行
讓我從舊金山到丹佛的所有航班	飛行
該航空公司巴爾的摩和舊金山之間飛行	飛行
什麼航空公司從波士頓飛往丹佛	航空公司
休斯頓和拉斯維加斯之間往返航班	航空公司
什麼美國航空公司航班密爾沃基出發鳳凰在週六或週日	飛行
我在尋找，從安大略去威徹斯特和芝加哥停止飛行	飛行
什麼是最便宜的單程機票從丹佛飛往匹茲堡	飛行
什麼樣的航空公司從波士頓航班UA 281丹佛	機票
該航空公司波士頓和費城之間飛	航空公司
從巴爾的摩華盛頓機場到奧克蘭列表直達航班起程下午	航空公司
請列出的票價為所有從亞特蘭大到費城的航班八月第一	飛行
告訴我紐瓦克新澤西的是去航班從圣迭戈由休斯頓方式	機票
什麼航班有從達拉斯到匹茲堡在星期一早上	飛行
一種飛機是從費城一流的美國航空公司飛往舊金山達拉斯停止使用了什麼	飛行
什麼是往返票一流的奧克蘭和亞特蘭大之間的成本	飛機
我需要在週六從費城飛往達拉斯航班航班信息	機票
什麼夜航你從舊金山有丹佛八月第二十七個晚上團結	飛行
什麼是從費城飛往達拉斯的航班上月1991年第一	飛行
列出從波士頓到丹佛所有週二晚上航班	飛行
什麼匹茲堡和巴爾的摩之間的可用航班八月十一	飛行
我想從丹佛飛往匹茲堡的航班，然後從匹茲堡飛往亞特蘭大然後從亞特蘭大回到匹茲堡回到丹佛	飛行
給我從紐瓦克飛往坦帕航班上週五	飛行
是什麼從匹茲堡到巴爾的摩的航班	飛行
列出從達拉斯到舊金山的美國航空公司航班	飛行
什麼下午航班從匹茲堡飛往亞特蘭大在平日	飛行
什麼是縮寫UA均值	飛行
I'd喜歡舊金山美國聯合航空公司航班從達拉斯是815點以後的葉子	縮寫
什麼是從達拉斯到波士頓的美國航空公司928航班票價	飛行
從印第安納波利斯到華盛頓州西雅圖的航班	機票
該航空公司是最便宜的，從達拉斯飛往巴爾的摩十二月廿四	飛行
有多少是波士頓和華盛頓之間的往返頭等艙票價	航空公司
I'd喜歡尋找從坦帕到蒙特利爾的航班，使停止在紐約	機票
表明離開費城是去亞特蘭大在星期四一早離開航班	飛行
告訴我航班的航空公司或從愛場	飛行
有多少航班確實每家航空公司有一流的服務	航空公司
告訴我下週三的鳳凰和密爾沃基之間的航班	數量
告訴我從費城到巴爾的摩航班	飛行
來回機票，從匹茲堡到費城低於1000美元	飛行
告訴我從波士頓到舊金山的航班下午4點離開後上週五	機票
哪些呢碼Y立場	飛行
什麼是最便宜的往返航班從丹佛亞特蘭大	縮寫
你能告訴我是經濟艙從巴爾的摩到達拉斯的航班	飛行
地面交通丹佛	飛行
什麼地面交通可在丹佛機場	飛行
又有多少的費用是從波士頓機場到市區行駛	飛行
最早的航班從亞特蘭大飛往費城	機票
什麼從印第安納波利斯飛往孟菲斯國際	飛行
當是早上第一個航班從波士頓到丹佛	飛行
告訴我從納什維爾到ST的直飛航班。路易	飛行
顯示從亞特蘭大到巴爾的摩航班	飛行
其中一般米切爾國際位於	飛行
什麼是鑽	市
有沒有從舊金山到波士頓任何直飛航班每週四	縮寫
感謝您的信息，現在我會一大早喜歡到費城四月十六歲的航班從亞特蘭大信息	飛行
I'd喜歡去航班從波士頓到亞特蘭大下午離開上八月第六	飛行
我需要從丹佛飛往舊金山週二	飛行
什麼呢FF平均	飛行
我想從密爾沃基飛往奧蘭多週三晚上或週四早上任	縮寫
從匹茲堡到費城是下週二到達位於6點鐘位置的所有航班	飛行
列出所有航班從米切爾將軍出發	飛行
讓我從圣迭戈的一個單程票價邁阿密直飛	飛行
告訴我，從亞特蘭大到波士頓航班	機票
是什麼從達拉斯到波士頓的航班增量	飛行
告訴我從波士頓到DFW所有航班	飛行
什麼是從丹佛飛往波士頓聯航空公司的最新航班起飛時間	飛行
告訴我，多倫多和丹佛之間飛行的航空公司	飛行時間
週四I'd像ST公司的航班。聖彼得堡邁阿密	航空公司
請找我波士頓和費城，在費城到達接近下午5點之間飛行	飛行
什麼西北航空的航班在中午前離開丹佛	飛行
從丹佛飛往巴爾的摩	飛行
我試圖找到從哥倫布到鳳凰通過辛辛那提航班	飛行
在九月第三華盛頓和丹佛之間的航班??信息	飛行
從波士頓去什麼飛往丹佛的航班上午10點前	飛行
從夏洛特到巴爾的摩航班	飛行
是什麼限制AP57	飛行
請列出從達拉斯到費城週一所有航班	限制
列出從波士頓到舊金山聯合國所有航班	飛行
在那裡從波士頓到舊金山的任何航班。在達拉斯停留	飛行
我需要從舊金山到匹茲堡到紐約航班從匹茲堡，然後紐約到舊金山	飛行
什麼從亞特蘭大到ST航班。路易斯週二抵達的約230點	飛行
讓我從所有其他機場愛情領域的航班	飛行
讓我從蒙特利爾的所有航班	飛行
有一個航班從舊金山出發，晚上上月第七抵達奧克蘭	飛行
讓我從丹佛航班威徹斯特縣	飛行
你能告訴我從亞特蘭大最新晚上飛往丹佛的航班上七月初七	飛行
告訴我從丹佛或費城或匹茲堡巴爾的摩的所有航班	飛行
從拉斯維加斯飛往蒙特利爾的航班	飛行
並中西部快捷服務克利夫蘭	飛行
什麼樣的飛機呢三角洲飛早上8點前從波士頓八月第二丹佛	飛行
列出所有的航班到達，並在米切爾將軍國際出發	飛機
什麼是最便宜的單程票價從亞特蘭大到波士頓	飛行
好吧，我在尋找從坦帕到ST飛行。路易留下任何上午前一天10	機票
是什麼都從波士頓飛往丹佛的航班	飛行
你可以給我信息，運輸距離費城市中心的費城機場	飛行
什麼樣的飛機從費城前往舊金山週一下午一流的飛行在達拉斯停止	飛行
列出週一在大陸出發的所有航班中午從丹佛到芝加哥之前	飛機
我想知道從巴爾的摩飛往丹佛航班的頭等艙票價	飛行
從紐瓦克飛往克利夫蘭每天下午5點航班	機票
什麼是波士頓和舊金山之間的最低票價	飛行
週二像我'd從底特律飛往聖。聖彼得堡	機票
找到從舊金山到波士頓的班機上週三	飛行
什麼是從達拉斯到巴爾的摩最便宜的航班	飛行
什麼航班有從紐瓦克飛往西雅圖星期六	飛行
請列出所有米切爾將軍國際的起飛和著陸	飛行
請列出堪薩斯城亞特蘭大早上航班	飛行
我想在838離開波士頓，並在1110上午在抵達丹佛	飛行
我想從堪薩斯城到ST的一次飛行。保羅晚餐下午6點左右到達	飛行
名單不停從巴爾的摩到紐瓦克的航班上週三中午前	飛行
我在尋找來自波士頓的班機前往丹佛的一種方式和可能最便宜的方式	飛行
什麼地面交通可在波士頓機場	飛行
解釋限制AP請	飛機
我想一個來自多倫多的美國空中飛行到圣迭戈在丹佛停留請	縮寫
什麼是最低票價從丹佛飛往亞特蘭大	飛行
什麼航班有從紐約到拉斯維加斯	機票
多長時間才能讓堪薩斯城第一。保羅	飛行
我想從堪薩斯城到ST飛行。保羅在下午4點的情況下	距離
什麼是對大陸1291往返票價從達拉斯到舊金山和回報	飛行
我想去乘坐飛機在亞特蘭大飛波士頓	機票
I'd喜歡起飛的航班亞特蘭大八七並在科羅拉多州丹佛市第七月到達離開下午	飛機
顯示第一航班從費城飛往達拉斯	飛行
列出從費城飛往達拉斯的美國航空航班	飛行
找到波士頓和華盛頓之間的直飛航班華盛頓下午5點左右到達	飛行
給我從芝加哥到西雅圖在週六上午的歐陸航班	飛行
什麼地面交通是在明天達拉斯可用	飛行
告訴我從匹茲堡到巴爾的摩的航班	飛行
讓我知道從蒙特利爾飛往底特律的航班	飛行
讓我從舊金山到拉瓜直飛航班全部	飛行
告訴我從費城到巴爾的摩航班	飛行
告訴我所有的三角洲航班在下午離開匹茲堡12和4之間	飛行
請你告訴我從夏洛特到密爾沃基的所有航班	飛行
I'd喜歡找亞特蘭大最早的航班可能從舊金山	飛行
什麼航班都可以在週三從亞特蘭大到華盛頓特區	飛行
我想從舊金山到丹佛在週四上午航班信息	飛行
請列出從ST的航班。保羅堪薩斯城上週五晚上這餐服務	飛行
從芝加哥到丹佛在週六上午航班上大陸	飛行
我需要從芝加哥晚上下下週三返程航班堪薩斯城離開芝加哥周圍7天	飛行
我想對我們的空氣1039從丹佛飛往匹茲堡四月二十票價	飛行
什麼是前往密爾沃基往返於舊金山最便宜的方式	機票
什麼'重最低的單程票價從丹佛飛往亞特蘭大	飛行
什麼航班有從匹茲堡飛往舊金山週五	機票
從拉瓜迪亞至JFK航班	飛行
請告訴我從多倫多到ST回程航班號。聖彼得堡	飛行
給我找一個亞特蘭大最早波士頓出發，並從亞特蘭大最新的回程，這樣我可以在亞特蘭大的時間最長，但當天返回波士頓	航班號
美國航空公司的航班頭等艙從費城飛往達拉斯	飛行
列出從休斯敦到ST的航班。保羅	飛行
我想看到丹佛經濟艙票價費城	飛行
是什麼堪薩斯城伯班克的航班上週六可22在美西	機票
從ST航班。保羅·休斯頓	飛行
告訴我飛機，加拿大的航空公司使用	飛行
該航空公司有從舊金山飛往華盛頓的航班印第安納波利斯的方式	飛機
在那裡從波士頓到舊金山其停止在華盛頓的任何航班	航空公司
從波士頓到華盛頓特區上午10點前，所有航班十一月十一	飛行
丹佛費城星期一	飛行
直飛航班丹佛到堪薩斯城	飛行
我想從匹茲堡飛往亞特蘭大的直接教練航班	飛行
什麼航班在芝加哥有抵達大陸晚上11點以後	飛行
你可以列出所有的直飛航班從日出發。聖彼得堡和到達夏洛特	飛行
什麼是飛機的美聯航航班的21型	飛行
你能告訴我從聖何塞飛往納什維爾週六下午航班	飛機
請給我從丹佛飛往費城可用航班	飛行
來回機票，從巴爾的摩到費城低於1000美元	飛行
達拉斯奧克蘭週六	機票
什麼飛機上使用三角洲航班1222從堪薩斯城到鹽湖城	飛行
我需要去從費城飛往達拉斯	飛機
有多少航班就美國航空公司從波士頓到亞特蘭大有	飛行
只顯示大陸航班	數量
是什麼限制美聯社80	飛行
奧克蘭丹佛	縮寫
告訴我紐約市和拉斯維加斯之間的航班??上週日	飛行
你能告訴我在十月十五1991年從波士頓到奧克蘭航班	飛行
什麼從芝加哥到丹佛早上航班	飛行
是什麼從華盛頓飛往丹佛的航班	飛行
我想從匹茲堡晚間航班飛往洛杉磯六月第三	飛行
從拉斯維加斯到鳳凰的前提下，早晨	飛行
從密爾沃基到菲尼克斯空港的航班上週六或週日美國航空公司	飛行
從波士頓飛往匹茲堡的航班	飛行
我期待在達拉斯地面交通	飛行
什麼是波士頓和華盛頓之間的最早的航班	飛行
來自費城的頭等艙美國飛往達拉斯的航班上週三	飛行
I'd需要的信息，請從華盛頓加利福尼亞州舊金山航班	飛行
I'd像波士頓和華盛頓九月第三之間的航班??信息	飛行
列出每天從亞特蘭大飛往丹佛的航班	飛行
所有從巴爾的摩到費城不到1000塊錢航班	飛行
讓我從舊金山到波士頓八月三十航班第一	飛行
顯示波士頓和費城之間的航班	飛行
什麼豪華轎車服務在波士頓	飛行
有多少美國航班有舊金山	飛行
告訴我航班陷入熱戀場	數量
什麼是在舊金山的汽車租賃率	飛行
我想看到從丹佛飛往費城的航班	飛行
請列出對美國聯合航空公司和西北哪去了丹佛的所有航班	飛行
I'米從費城前往達拉斯	飛行
列出航班總數將由三角洲的所有機場	飛行
我需要預訂從紐瓦克到坦帕航班於四月第四	數量
告訴我九月十五舊金山和費城之間的所有航班	飛行
從舊金山到洛杉磯的所有航班	飛行
有大陸航空公司從波士頓到丹佛航班	飛行
從丹佛什麼飛行匹茲堡最先到達早上	飛行
當從波士頓到丹佛最早的航班	飛行
什麼才是一個航班，從巴爾的摩去西雅圖	飛行
什麼才是從波士頓到舊金山首飛	飛行
請給達拉斯機場地面交通	飛行
是什麼限制美聯社57	飛行
什麼是從波士頓最早的航班將在抵達丹佛	縮寫
是什麼在鹽湖城最早到達一個來自多倫多的航班	飛行
什麼是從丹佛最後一個航班到波士頓明天晚上	飛行
請出示從費城到丹佛機場下週日的所有航班	飛行
所有達拉斯往返航班和票價從匹茲堡12點後不到1100元	飛行
告訴我，低於200美元的單程費城和舊金山之間的所有票價	航班機票+
告訴我票價在星期二離開從丹佛到達拉斯	機票
我想從亞特蘭大到華盛頓特區週三航班	機票
他們是堪薩斯城st所有的直飛航班。保羅	飛行
沒關係告訴我所有的航班巴爾的摩	飛行
從匹茲堡飛往巴爾的摩上午10點到下午2點之間的航班	飛行
I'd喜歡從丹佛飛回亞特蘭大晚上航班	飛行
從辛辛那提到鹽湖城的美國航班	飛行
列出所有的航班，從米切爾將軍國際出發	飛行
明尼阿波利斯週一鳳凰	飛行
告訴我湖人地面運輸	飛行
從匹茲堡到洛杉磯週四晚上航班	飛行
我需要從華盛頓飛往舊金山，但我'd喜歡在達拉斯，你能告訴我航班，將做到這一點的時間表停	飛行
什麼樣的達拉斯和巴爾的摩之間的最低往返票價	飛行
從拉斯維加斯到紐約請名單的直飛航班上美國西部	機票
I'd喜歡看到從巴爾的摩到亞特蘭大的當天中午前抵達航班和I'd喜歡看到從丹佛飛往亞特蘭大當天中午前到達航班	飛行
還好只是在十一月十三，我想從亞特蘭大飛到丹佛，我需要知道哪些航班可用	飛行
什麼樣的從波士頓平面蒼蠅匹茲堡中午	飛行
從丹佛飛往鹽湖城	飛機
在那裡從波士頓飛往匹茲堡週三下週下午5點其他航班	飛行
航班信息從奧克蘭飛往丹佛	飛行
我想之間丹佛和舊金山從丹佛留在下午和下午5時抵達它必須是一個直飛航班	飛行
什麼航班有從費城到丹佛週三經濟艙	飛行
有沒有從邁阿密聯合航空公司航班前往華盛頓抵達中午左右	飛行
告訴我所有從紐約到密爾沃基的航班	飛行
什麼地面交通丹佛可用	飛行
什麼地面交通亞特蘭大可用	飛行
顯示所有航空公司與丹佛和達拉斯之間的航班	縮寫
頭等艙來回機票從印第安納波利斯到孟菲斯	航空公司
多少航班UA 297從丹佛飛往舊金山的成本	機票
我需要從辛辛那提往返飛行於加利福尼亞州聖何塞	機票
什麼西北航空的航班在中午前離開丹佛	飛行
告訴我返回從辛辛那提飛往鹽湖城直達	飛行
有起飛的航班從波士頓到亞特蘭大	飛行
告訴我航班列表上月第二十二留下DC達拉斯下午6時後離開DC	飛行
我的問題是我想要去舊金山，我住在丹佛，我想對美國聯合航空公司飛你有一個早期飛行	飛行
顯示來自匹茲堡的航班到舊金山	飛行
什麼航班有從達拉斯到休斯敦	飛行
讓我看看波士頓和華盛頓之間的所有航班	飛行
告訴我從波士頓到丹佛週三中午之前到達其在丹佛的所有航班	飛行
波士頓和奧克蘭之間的名單可能往返航班，每天	飛行
請告訴我的服務從波士頓到丹佛航空公司	飛行
什麼是由德爾塔航空公司提供亞特蘭大和DFW之間的航班??票價	航空公司
讓我再一次從巴爾的摩頭等艙票價達拉斯	機票
什麼是我的航班的選擇，以獲得從夏洛特到明尼阿波利斯抵達約下午7時在明尼阿波利斯	機票
告訴我，從巴爾的摩到達拉斯的航班	飛行
我想找到從波士頓到亞特蘭大的航班	飛行
在波士頓機場和市區之間的地面交通	飛行
我想下午4點之前，從達拉斯飛到舊金山週六抵達舊金山	飛行
是什麼從達拉斯到波士頓的航班，明天晚上或晚上	飛行
航班從丹佛飛往波士頓	飛行
讓我從舊金山到達拉斯大陸航空公司航班	飛行
發現我是波士頓和達拉斯之間的直飛航班	飛行
告訴我從達拉斯到舊金山票價	飛行
我想知道你有什麼欲購從速教練或經濟艙從巴爾的摩到達拉斯	機票
告訴我從達拉斯到舊金山的航班美國	飛行
什麼是從匹茲堡到亞特蘭大的一種方式最便宜的航班	飛行
顯示了從巴爾的摩到達拉斯的所有航班的價格在七月第二十九	飛行
哪些航班可以從達拉斯到亞特蘭大	機票
尋找多倫多聖地亞哥航班	飛行
你有什麼明天從亞特蘭大5點到舊金山後	飛行
什麼航班離開達拉斯亞特蘭大八月第二十七晚上	飛行
列出從波士頓到奧克蘭的所有航班	飛行
什麼才是從舊金山到亞特蘭大的最新航班	飛行
費城到波士頓週一	飛行
我想從洛杉磯到夏洛特的航班上一個工作日的早晨葉子	飛行
在丹佛地面運輸	飛行
什麼地面交通在巴爾的摩可以後天	飛行
什麼是週四華盛頓特區最早的航班從亞特蘭大	飛行
什麼是最新的航班離開華盛頓，丹佛	飛行
找旅行社安排從達拉斯往返航班匹茲堡晚上10點前晚上8點後抵達	飛行
給我從夏洛特到巴爾的摩一個航班上週二上午	飛行
我期待從匹茲堡到費城上午9點前離開航班	飛行
什麼是票價代碼QO平均	飛行
什麼航班有從巴爾的摩到舊金山	縮寫
我想從鹽湖城回到ST飛。聖彼得堡週三	飛行
我想從美國科羅拉多州丹佛市一個下午的航班飛往得克薩斯州達拉斯	飛行
有多少是達拉斯 - 沃斯堡國際機場和達拉斯之間的豪華轎車	飛行
從波士頓到舊金山的航班今天下午請，下午即離開	飛行
I'd喜歡從達拉斯到波士頓在週二的航班信息	飛行
在鳳凰地面交通	飛行
該機的顯示類型中午前從克利夫蘭出發飛往達拉斯	飛行
你怎麼知道丹佛汽車租賃	飛機
什麼是航空公司NW	飛行
顯示所有離開從多倫多到圣迭戈美國航空航班在華盛頓鋪設了	航空公司
I'd像八月第七在丹佛豪華轎車	飛行
我需要從夏洛特航班今晚拉斯維加斯與ST停止。路易斯，我想晚餐	飛行
我什麼時候可以從費城飛往達拉斯的一個星期六上午	飛行
給我從西雅圖大陸航班	飛行
什麼是票價代碼H	飛行
在巴爾的摩地面交通	縮寫
什麼歐陸航班從芝加哥到西雅圖上午10點之前在早晨吃一頓飯	飛行
告訴我從丹佛飛往波士頓的最新航班	飛行
告訴我九月十五舊金山和費城之間的所有航班	飛行
什麼從多倫多到費城的航班	飛行
告訴我從丹佛飛往舊金山週三下午航班	飛行
多少的費用是從達拉斯飛往美國巴爾的摩	飛行
什麼是波士頓和奧克蘭之間最便宜的單程票價	機票
有多少票價從塔科馬到蒙特利爾有一個辦法	機票
航班從丹佛飛往費城	數量
像我'd從哥倫布早飛到明天明尼阿波利斯	飛行
告訴我從巴爾的摩到達拉斯經濟航班	飛行
告訴我從匹茲堡到直流航班	飛行
費城到舊金山下週週二顯示航班	飛行
什麼是華盛頓最早的直飛舊金山	飛行
你能告訴我從巴爾的摩到達拉斯的航班	飛行
航班從密爾沃基前往芝加哥	飛行
什麼呢EWR立場	飛行
我想從達拉斯到亞特蘭大週三早上航班信息	縮寫
什麼是從印第安納波利斯到聖地亞哥的航班晚餐週三可能第十二	飛行
告訴我從丹佛飛往費城國際	飛行
告訴我從達拉斯到丹佛三角洲航班	飛行
告訴我有關的地面運輸在鹽湖城	飛行
告訴我從費城到丹佛在週一航班	市
美國巴爾的摩3724費城是什麼票價	飛行
沒關係，你可以告訴我，丹佛和亞特蘭大之間的飛行成本	機票
是什麼LS代表	飛行
告訴我從夏洛特到哥倫布的所有航班	縮寫
列出從費城到奧克蘭上週五下午的航班	飛行
描述匹茲堡機場	飛行
告訴我從愛領域的航班	飛機場
我想預定八月第二十七從巴爾的摩到舊金山航班上美國空氣	飛行
什麼航班降落在米切爾將軍國際	飛行
我想從亞特蘭大到華盛頓特區週四所有航班	飛行
請告訴我從丹佛飛往舊金山票價	飛行
什麼在多倫多豪華轎車服務	機票
多久地面交通從鹽湖城機場乘坐	機票
我想安排到舊金山美國航空公司航班從費城，使得在丹佛停止	飛行
我感興趣的飛行從波士頓到亞特蘭大	飛行
什麼航空公司航班始發於亞特蘭大十一月十七日中午和下午210在抵達舊金山	飛行
從列出華盛頓特區到佛羅里達州坦帕的所有航班	航空公司
告訴我從波士頓到達拉斯的航班	飛行
我想從密爾沃基飛往奧蘭多下午5點以後一種方式星期三離開	飛行
從匹茲堡飛往亞特蘭大的航班有最低經濟艙票價	飛行
I'd想知道從波士頓到舊金山最早的航班	飛行
你可以租一輛車在斯泰普爾頓國際機場	飛行
我想從丹佛去亞特蘭大往返，並在匹茲堡停止可能我有最低票價	飛行
有來自波士頓的增量飛往丹佛的航班	飛行
我想從亞特蘭大飛三角洲航空公司匹茲堡	飛行
該航班波士頓和巴爾的摩華盛頓之間	飛行
我想從丹佛飛往匹茲堡和亞特蘭大	飛行
從費城經亞特蘭大早餐飛往達拉斯的航班	飛行
什麼是匹茲堡和丹佛之間的最低票價單程	飛行
你有沒有從ST航班。聖彼得堡多倫多週一	機票
從波士頓飛往匹茲堡名單航班清晨離開八月第六	飛行
什麼是MCO	飛行
